ID,Sport,Sex,Age,Body mass,10 m,20 m,30 m,40 m,F0,V0,Pmax,FV Slope,RF max,DRF
,,,(y),(kg),(s),(s),(s),(s),(N/kg),(m/s),(W/kg),(N/s/m/kg),(%),(%)
154,Bobsleigh,M,24.0164383561644,98.8,1.937,3.135,4.207,5.247,8.82507830273938,9.75511535467808,21.5224142143223,-0.904661603874043,49.2475512126339%,-8.3055548552488%
155,Bobsleigh,M,27.441095890411,98.8,1.9,3.051,4.13,5.169,9.42685031109573,9.82966995937751,23.1657068286316,-0.959020023058099,50.6779786809872%,-8.75804398745163%
156,Combat sports,M,23.6356164383562,57.1,2.062,3.346,4.525,5.705,8.0489206593174,8.93989132846907,17.9891190014418,-0.900337639864327,45.9209290561411%,-8.35347416604772%
157,Combat sports,M,18.2575342465753,58,2.12,3.44,4.67,5.91,7.74222619442051,8.57392705669283,16.5953206618445,-0.902996508277605,44.4797970301129%,-8.43608973122608%
158,Combat sports,M,21.8480262874176,58,2.11,3.5,4.86,6.41,8.91881002888905,7.63245815997226,17.0181110955592,-1.16853703511445,44.7087891171618%,-10.9826644227025%
159,Combat sports,M,24.7252758434805,62,2.08,3.36,4.58,5.77,8.14172857812837,8.70178004289363,17.7118828139536,-0.935639436758388,45.6893296491361%,-8.70931452432601%
160,Combat sports,M,20.3851047057331,63,2.14,3.47,4.69,5.91,7.45289853828319,8.62915755148134,16.0780589255127,-0.863687850618023,43.8455127768709%,-8.0863167400368%
161,Combat sports,M,25.413698630137,64,2.039,3.334,4.508,5.682,8.3122584784594,8.84857381065142,18.3879081699652,-0.939389630050163,46.3718983011885%,-8.72055112456832%
162,Combat sports,M,20.5080127790462,64.5,2.11,3.39,4.63,5.87,7.92771703351248,8.62866985815403,17.1014132527608,-0.9187646721726,45.0434293650821%,-8.57563870841059%
163,Combat sports,M,18.3890410958904,64.9,2.17,3.51,4.75,6,7.26670641239881,8.51985994632295,15.4778302261712,-0.852913834051348,43.1506426907848%,-8.00849368554396%
164,Combat sports,M,18.3963159880771,66,2.19,3.52,4.75,5.95,6.99619838641578,8.67287563949725,15.1692896386588,-0.806675741383205,42.6529546670965%,-7.57761586722092%
165,Combat sports,M,20.9792820903095,67,2.08,3.39,4.64,5.9,8.38859549957027,8.38675413846296,17.5882720054782,-1.00021955587071,45.5843502769159%,-9.34074364757438%
166,Combat sports,M,25.2291775748351,67,2.05,3.37,4.59,5.78,8.55227308037836,8.46843358576129,18.1060891471196,-1.00990023642129,46.1043931721815%,-9.41186782119697%
167,Combat sports,M,17.6602739726027,69.8,2.24,3.61,5,6.36,7.50714442981246,7.6964652973966,14.4446191466489,-0.975401582379877,42.1117026970638%,-9.23823131184142%
168,Combat sports,M,27.4191780821918,71,2.08,3.39,4.62,5.84,8.23491138301293,8.49662882601259,17.4922463591417,-0.96919749604709,45.4902317758724%,-9.05129672526621%
169,Combat sports,M,20.5524715563166,72,1.97,3.23,4.41,5.55,9.32870867414158,8.78921629348,20.4980095689734,-1.06138117013479,48.3300703102313%,-9.81052260459495%
170,Combat sports,M,23.4520547945206,73.2,2.079,3.354,4.532,5.702,7.84539957758252,8.98260563667736,17.6180326168947,-0.873399088739747,45.5066245215932%,-8.13140138412178%
171,Combat sports,M,21.9178082191781,73.6,2.105,3.407,4.583,5.779,7.53805515151348,8.94357372059326,16.8542879893646,-0.842845979360189,44.6346078891481%,-7.86883622238578%
172,Combat sports,M,26.650548325723,74,2.17,3.56,4.85,6.18,7.62369223160735,8.01860437066335,15.2828429622397,-0.950750514578221,43.0872709571954%,-8.96818346256812%
173,Combat sports,M,28.8480208967529,74,2.02,3.3,4.52,5.74,8.95458224785797,8.55447769860265,19.1504435349011,-1.04677135920533,47.0997420631081%,-9.73013397958806%
174,Combat sports,M,25.1198010844749,75,2.02,3.25,4.44,5.62,8.68158195662637,8.94812479008257,19.4209696808055,-0.97021243671617,47.3933186962054%,-8.98687521347213%
175,Combat sports,M,21.300412798072,76,1.97,3.2,4.34,5.47,8.95381845601609,9.18491574190407,20.5600170217034,-0.974839476770195,48.4442029443146%,-8.98649576510371%
176,Combat sports,M,27.427397260274,79.8,2.037,3.303,4.444,5.603,8.07773849092535,9.17562467371888,18.5295741512958,-0.880347527080295,46.4380675502881%,-8.16968885196736%
177,Combat sports,M,29.9628186199899,83,2.17,3.47,4.68,5.87,7.07690731523518,8.85059946407907,15.6587180228894,-0.799596382590516,43.1902492810067%,-7.50715818038562%
178,Combat sports,M,22.5397260273973,84,2.08,3.36,4.57,5.78,8.07921444363065,8.71784057999967,17.6083258828007,-0.926744916873779,45.5901170581021%,-8.65210282344013%
179,Combat sports,M,34.2696912100457,84,2.06,3.31,4.48,5.61,8.01516141678806,9.0808782487096,18.1961762424018,-0.882641656155561,46.1158177606472%,-8.20792403846352%
180,Combat sports,M,19.0712328767123,84.1,2.109,3.417,4.663,5.859,8.00165601319534,8.43910096242011,16.8816957404779,-0.948164508142189,44.8518850599423%,-8.88668739265297%
181,Combat sports,M,18.5990272704211,85,2.06,3.39,4.62,5.86,8.51412233842791,8.35755572106221,17.7893129648379,-1.01873354155105,45.791446611561%,-9.52899716194133%
182,Combat sports,M,24.9469707952816,85,1.94,3.12,4.25,5.31,9.29659664256056,9.40062525340823,21.8484552922013,-0.988933862584305,49.5789266910998%,-9.07914883365387%
183,Combat sports,M,22.6511129502791,85.5,2,3.2,4.3,5.37,8.20814686029078,9.72502687996389,19.9561122127548,-0.844023051206338,47.705522890838%,-7.77786590182148%
184,Combat sports,M,19.1835616438356,87.9,2.099,3.424,4.656,5.887,8.02731986765835,8.43272958603878,16.9230544361499,-0.951924259607278,44.8997938370258%,-8.92421244483795%
185,Combat sports,M,17.3628359335363,91.3,2.06,3.32,4.52,5.74,8.25114120397848,8.81127464899351,18.1757678289703,-0.936429918788309,46.1764413508434%,-8.72847801562858%
186,Combat sports,M,17.7743765854896,95,2.09,3.39,4.55,5.7,7.60549352749283,8.98695632024687,17.0875595313746,-0.846281350044874,44.9012387003862%,-7.91043762572866%
187,Combat sports,M,16.727791920345,98,2.16,3.44,4.62,5.77,6.99239898693228,9.11451292469786,15.9330777352596,-0.767171986556163,43.3582219124881%,-7.1973463291983%
188,Combat sports,W,24.9601080035515,50,2.33,3.89,5.41,6.87,7.44675905043057,6.79382941392106,12.6480026687995,-1.09610627478688,39.7396678567389%,-10.4803298287939%
189,Combat sports,W,15.8564961314054,52,2.19,3.58,4.91,6.22,7.6595314261229,7.8816746071594,15.0924835860031,-0.971815230631988,42.863454062146%,-9.16008854014419%
190,Combat sports,W,21.5090657978184,55.6,2.41,3.97,5.44,6.93,6.37263827753426,7.04421636258748,11.2225607068645,-0.904662484727182,37.8278690415601%,-8.67875826214363%
191,Combat sports,W,16.0953017820903,56.2,2.33,3.84,5.3,6.78,7.04627181633221,7.12321884927699,12.5480340548067,-0.989197716008319,39.7144606839595%,-9.44694447839443%
192,Combat sports,W,22,57,2.22,3.7,5.05,6.41,7.5087493905171,7.52966919851314,14.1345997512827,-0.997221682992373,41.7308318990255%,-9.45541686978687%
193,Combat sports,W,19.0013779173009,57.5,2.17,3.55,4.85,6.18,7.68198766983238,8.02344990804234,15.4090108157748,-0.957441967965963,43.2270080133843%,-9.0154743683038%
194,Combat sports,W,33.4870668125317,58.5,2.41,4,5.52,7.06,6.65541786450163,6.77791102103387,11.2774575233478,-0.981927594482709,37.960134082405%,-9.43558157424026%
195,Combat sports,W,30.0076207191781,61,2.33,3.81,5.23,6.69,6.80235159721477,7.36089634846715,12.517851258232,-0.924120008649667,39.6490533316002%,-8.81903701840264%
196,Combat sports,W,31.814875602486,61,2.29,3.8,5.24,6.69,7.34393016544823,7.14796255376442,13.1235344550212,-1.02741586993634,40.4537318630766%,-9.79962179321984%
197,Combat sports,W,28.708045884069,61.6,2.34,3.82,5.24,6.69,6.70826019285061,7.37289839741092,12.3648302063209,-0.909853877168075,39.4280856900738%,-8.68720431187104%
198,Combat sports,W,26.563341768138,62,2.34,3.89,5.41,6.95,7.33672458216619,6.80578074286562,12.4830347192539,-1.07801365623733,39.5583699156821%,-10.3255378691355%
199,Combat sports,W,16.6093620941147,63,2.34,3.83,5.23,6.66,6.60099966491865,7.43004384546521,12.2614292335617,-0.888420015037657,39.2571730822755%,-8.48424670602761%
200,Combat sports,W,27.6849315068493,63,2.26,3.7,5.05,6.41,7.06331553597971,7.7010934588579,13.5988132679957,-0.917183458909383,41.0383918517448%,-8.70827592258208%
201,Combat sports,W,18.7464190131913,65,2.28,3.7,5.08,6.39,7.03882787048736,7.64488818521799,13.452763006218,-0.920723455981671,40.8601754501097%,-8.75072342711459%
202,Combat sports,W,24.3911930175038,67.2,2.3,3.84,5.23,6.74,6.9539355236929,7.26486013155688,12.6298422358734,-0.957201569991225,39.8255932554393%,-9.1425327191245%
203,Combat sports,W,27.4724127346525,70,2.26,3.7,5.06,6.44,7.12848864492517,7.63946386719124,13.6144578576472,-0.93311373269785,41.0788246182007%,-8.86891912350714%
204,Combat sports,W,16.8514546232877,70.3,2.25,3.7,5.08,6.45,7.36405371205411,7.50315106177341,13.8134018571388,-0.981461475508875,41.3476628580842%,-9.33048006862592%
205,Cross country skiing,M,18.0477988647894,66,2.16,3.53,4.78,6.05,7.45119289904588,8.3154459777404,15.4899980054347,-0.896066539184064,43.2574822474116%,-8.42415775044262%
206,Cross country skiing,M,24.6684931506849,69,2.121,3.435,4.647,5.799,7.60979044707506,8.68834532051459,16.5291218052353,-0.875861877762514,44.3678558891721%,-8.19238079708257%
207,Cross country skiing,M,23.0575342465753,70.5,2.26,3.664,4.952,6.262,6.68555160620702,8.15515766643427,13.6304318589253,-0.819794279848692,40.8625250822363%,-7.76625063591124%
208,Cross country skiing,M,24.8589171106038,71,2.06,3.32,4.48,5.64,7.93374007722106,9.14188572361903,18.1323362867128,-0.867845028594418,46.0116248859428%,-8.05653672339482%
